Ohio State,55,Illinois,14
Oklahoma,59,Iowa State,14
Oregon,45,Stanford,16
Rice,31,Florida International,17
Southern California,44,Washington State,17
Temple,20,East Carolina,10
Tennessee,45,South Carolina,42
Texas,34,Texas Tech,13
Texas A&M,21,Louisiana-Monroe,16
Texas Christian,31,West Virginia,30
Texas State,37,New Mexico State,29
Texas-El Paso,35,Southern Mississippi,14
UCLA,17,Arizona,7
Utah State,35,Hawaii,14
Vanderbilt,42,Old Dominion,28
Washington,38,Colorado,23
Western Michigan,41,Miami (OH),10
Wisconsin,37,Rutgers,0
Wyoming,45,Fresno State,17
Bowling Green State,27,Akron,10
Toledo,30,Kent State,20
Northern Illinois,35,Ball State,21
Ohio,37,Buffalo,14
Clemson,34,Wake Forest,20
Memphis,16,Temple,13
Utah State,20,Wyoming,3
Air Force,48,Nevada-Las Vegas,21
Alabama,20,Louisiana State,13
Appalachian State,31,Louisiana-Monroe,29
Arizona,38,Colorado,20
Arizona State,55,Notre Dame,31
Arkansas State,45,South Alabama,10
Army,35,Connecticut,21
Baylor,48,Oklahoma,14
Boise State,60,New Mexico,49
Colorado State,49,Hawaii,22
Duke,27,Syracuse,10
Florida,34,Vanderbilt,10
Florida State,34,Virginia,20
Fresno State,38,San Jose State,24
Georgia,63,Kentucky,31
Georgia Southern,28,Texas State,25
Georgia Tech,56,North Carolina State,23
Kansas,34,Iowa State,14
Louisiana Tech,40,Alabama-Birmingham,24
Louisiana-Lafayette,44,New Mexico State,16
Louisville,38,Boston College,19
Marshall,63,Southern Mississippi,17
Michigan,10,Northwestern,9
Minnesota,51,Iowa,14
Mississippi,48,Presbyterian,0
Mississippi State,45,Tennessee-Martin,16
North Texas,31,Florida Atlantic,10
Ohio State,49,Michigan State,37
Old Dominion,38,Florida International,35
Oregon,51,Utah,27
Penn State,13,Indiana,7
Rice,17,Texas-San Antonio,7
San Diego State,35,Idaho,21
Texas,33,West Virginia,16
Texas A&M,41,Auburn,38
Texas Christian,41,Kansas State,20
Troy,45,Georgia State,21
Tulane,31,Houston,24
Tulsa,38,Southern Methodist,28
UCLA,44,Washington,30
Washington State,39,Oregon State,32
Western Kentucky,35,Texas-El Paso,27
Wisconsin,34,Purdue,16
Buffalo,55,Akron,24
Northern Illinois,27,Toledo,24
Bowling Green State,30,Kent State,20
Massachusetts,24,Ball State,10
Cincinnati,54,East Carolina,46
Southern California,38,California,30
Texas-San Antonio,12,Southern Mississippi,10
Central Florida,31,Tulsa,7
Air Force,45,Nevada,38
Alabama,25,Mississippi State,20
Appalachian State,37,Arkansas State,32
Arizona,27,Washington,26
Arkansas,17,Louisiana State,0
Boise State,38,San Diego State,29
Brigham Young,42,Nevada-Las Vegas,23
Central Michigan,34,Miami (OH),27
Florida International,38,Middle Tennessee State,28
Florida State,30,Miami (FL),26
Georgia,34,Auburn,7
Georgia Tech,28,Clemson,6
Hawaii,13,San Jose State,0
Iowa,30,Illinois,14
Louisiana-Lafayette,34,Louisiana-Monroe,27
Marshall,41,Rice,14
Memphis,38,Tulane,7
Michigan State,37,Maryland,15
Missouri,34,Texas A&M,27
Navy,52,Georgia Southern,19
North Carolina,40,Pittsburgh,35
North Carolina State,42,Wake Forest,13
Northwestern,43,Notre Dame,40
Northwestern,43,Notre Dame,40
Northwestern,43,Notre Dame,40
Ohio State,31,Minnesota,24
Oklahoma,42,Texas Tech,30
Oregon State,35,Arizona State,27
Penn State,30,Temple,13
Rutgers,45,Indiana,23
South Alabama,24,Texas State,20
South Carolina,23,Florida,20
South Florida,14,Southern Methodist,13
Tennessee,50,Kentucky,16
Texas,28,Oklahoma State,7
Texas Christian,34,Kansas,30
Texas-El Paso,35,North Texas,17
Troy,34,Idaho,17
Utah,20,Stanford,17
Utah State,28,New Mexico,21
Virginia Tech,17,Duke,16
Western Kentucky,52,Army,24
Western Michigan,51,Eastern Michigan,7
Wisconsin,59,Nebraska,24
Akron,30,Massachusetts,6
Northern Illinois,21,Ohio,14
Toledo,27,Bowling Green State,20
Kansas State,26,West Virginia,20
North Carolina,45,Duke,20
Texas State,45,Arkansas State,27
Rice,31,Texas-El Paso,13
San Diego State,30,Air Force,14
Utah State,41,San Jose State,7
Alabama,48,Western Carolina,14
Appalachian State,35,Louisiana-Lafayette,16
Arizona,42,Utah,10
Arizona State,52,Washington State,31
Arkansas,30,Mississippi,0
Army,42,Fordham,31
Auburn,31,Samford,7
Ball State,45,Eastern Michigan,30
Baylor,49,Oklahoma State,28
Boise State,63,Wyoming,14
Brigham Young,64,Savannah State,0
Central Florida,53,Southern Methodist,7
Cincinnati,41,Connecticut,0
Clemson,28,Georgia State,0
Colorado State,58,New Mexico,20
East Carolina,34,Tulane,6
Florida,52,Eastern Kentucky,3
Florida State,20,Boston College,17
Fresno State,40,Nevada,20
Georgia,55,Charleston Southern,9
Hawaii,37,Nevada-Las Vegas,35
Houston,38,Tulsa,28
Illinois,16,Penn State,14
Louisiana-Monroe,30,New Mexico State,17
Louisville,31,Notre Dame,28
Marshall,23,Alabama-Birmingham,18
Maryland,23,Michigan,16
Memphis,31,South Florida,20
Michigan State,45,Rutgers,3
Middle Tennessee State,35,Florida Atlantic,34
Minnesota,28,Nebraska,24
Mississippi State,51,Vanderbilt,0
Missouri,29,Tennessee,21
North Texas,17,Florida International,14
Northwestern,38,Purdue,14
Ohio State,42,Indiana,27
Oklahoma,44,Kansas,7
Old Dominion,30,Louisiana Tech,27
Oregon,44,Colorado,10
Pittsburgh,30,Syracuse,7
South Carolina,37,South Alabama,12
Stanford,38,California,17
Texas Tech,34,Iowa State,31
UCLA,38,Southern California,20
Virginia,30,Miami (FL),13
Wake Forest,6,Virginia Tech,3
Washington,37,Oregon State,13
Western Kentucky,45,Texas-San Antonio,7
Western Michigan,32,Central Michigan,20
Wisconsin,26,Iowa,24
Ohio,24,Miami (OH),21
Louisiana State,23,Texas A&M,17
Texas Christian,48,Texas,10
Air Force,27,Colorado State,24
Arizona,42,Arizona State,35
Ball State,41,Bowling Green State,24
Buffalo,41,Massachusetts,21
Central Florida,16,South Florida,0
East Carolina,49,Tulsa,32
Houston,35,Southern Methodist,9
Kent State,27,Akron,24
Missouri,21,Arkansas,14
Navy,42,South Alabama,40
Nebraska,37,Iowa,34
Northern Illinois,31,Western Michigan,21
Stanford,31,UCLA,10
Toledo,52,Eastern Michigan,16
Virginia Tech,24,Virginia,20
Western Kentucky,67,Marshall,66
Alabama,55,Auburn,44
Alabama-Birmingham,45,Southern Mississippi,24
Appalachian State,45,Idaho,28
Arkansas State,68,New Mexico State,35
Baylor,48,Texas Tech,46
Boise State,50,Utah State,19
Boston College,28,Syracuse,7
Brigham Young,42,California,35
Cincinnati,14,Temple,6
Clemson,35,South Carolina,17
Duke,41,Wake Forest,21
Florida State,24,Florida,19
Fresno State,28,Hawaii,21
Georgia Southern,22,Louisiana-Monroe,16
Georgia Tech,30,Georgia,24
Illinois,47,Northwestern,33
Indiana,23,Purdue,16
Kansas State,51,Kansas,13
Louisiana Tech,76,Rice,31
Louisiana-Lafayette,42,Troy,23
Louisville,44,Kentucky,40
Memphis,41,Connecticut,10
Michigan State,34,Penn State,10
Mississippi,31,Mississippi State,17
Nevada,49,Nevada-Las Vegas,27
New Mexico,36,Wyoming,30
North Carolina State,35,North Carolina,7
Ohio State,42,Michigan,28
Old Dominion,31,Florida Atlantic,28
Oregon,47,Oregon State,19
Pittsburgh,35,Miami (FL),23
Rutgers,41,Maryland,38
San Diego State,38,San Jose State,7
Southern California,49,Notre Dame,14
Tennessee,24,Vanderbilt,17
Texas State,54,Georgia State,31
Texas-El Paso,24,Middle Tennessee State,21
Texas-San Antonio,34,North Texas,27
Utah,38,Colorado,34
Washington,31,Washington State,13
West Virginia,37,Iowa State,24
Wisconsin,34,Minnesota,24
Central Florida,32,East Carolina,30
Northern Illinois,51,Bowling Green State,17
Oregon,51,Arizona,13
Alabama,42,Missouri,13
Baylor,38,Kansas State,27
Boise State,28,Fresno State,14
Cincinnati,38,Houston,31
Florida State,37,Georgia Tech,35
Marshall,26,Louisiana Tech,23
Ohio State,59,Wisconsin,0
Oklahoma State,38,Oklahoma,35
Southern Methodist,27,Connecticut,20
Temple,10,Tulane,3
Texas Christian,55,Iowa State,3
Navy,17,Army,10
Air Force,38,Western Michigan,24
Bowling Green State,33,South Alabama,28
Louisiana-Lafayette,16,Nevada,3
Utah,45,Colorado State,10
Utah State,21,Texas-El Paso,6
Memphis,55,Brigham Young,48
Marshall,52,Northern Illinois,23
Navy,17,San Diego State,16
Rice,30,Fresno State,6
Western Kentucky,49,Central Michigan,48
Louisiana Tech,35,Illinois,18
North Carolina State,34,Central Florida,27
Rutgers,40,North Carolina,21
Arizona State,36,Duke,31
Penn State,31,Boston College,30
South Carolina,24,Miami (FL),21
Southern California,45,Nebraska,42
Virginia Tech,33,Cincinnati,17
Arkansas,31,Texas,7
Clemson,40,Oklahoma,6
Texas A&M,45,West Virginia,37
Georgia,37,Louisville,14
Notre Dame,31,Louisiana State,28
Stanford,45,Maryland,21
Boise State,38,Arizona,30
